//№(ID)	Название 	Модель 	Пропеллер 1	Пропеллер 2	Пропеллер 3	Пропеллер 4	Цена 	Прочность судна	 Время восстановление судна	Защита судна 	Только судноresistЧастое кол-во	Атака судна	Нападение с расстояния	Добавление временной бомбы	Удаление диапазона 	Грузовая вместимость трюма 	Пополнение топлива 	Потребление топлива   Скорость полета снарядов 	 Скорость корабля 	Описание 	(Реквизит уровня) 	Примечания 
0001	Титановый корпус	2000000000	0	0	0	0	31237	4286	0	78	20	0	0	0	0	0	0	200	2	0	0	0	0
0002	Серебряный дельфин	2000010000	0	0	0	0	46200	5000	0	89	20	0	0	0	0	0	0	200	3	0	0	0	0
0003	Огромная белая акула	2000020000	0	0	0	0	65362	5731	0	100	20	0	0	0	0	0	0	200	3	0	0	0	0
0004	Холщовый корпус	2001000000	0	0	0	0	31237	6082	0	127	25	0	0	0	0	0	0	200	2	0	0	0	0
0005	Богиня	2001010000	0	0	0	0	46200	7441	0	155	25	0	0	0	0	0	0	200	3	0	0	0	0
0006	Титановый корпус	2002000000	0	0	0	0	65362	8945	0	183	25	0	0	0	0	0	0	200	3	0	0	0	0
0007	Ковчег	2003000000	0	0	0	0	0	1000	0	20	20	0	0	0	0	0	0	200	2	0	0	0	0
0008	Обычный	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
0009	Тяжелый	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
0010	Особый лук	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
0011	Вострый лук	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
0012	Длинный лук	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
0013	Сталкивающий лук	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
0014	Судовой	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
0015	Полуавт. весло	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0016	Паровой двигатель	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
0017	Двойной паровой понтон	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0
0018	Паровой буй	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0
0019	Биоудар 80	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0
0020	Биомусор 90	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0
0021	Турбо-движитель	2000000002	0022	0	0	0	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0
0022	Движитель демона 01		2000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0023	Серебряный движитель 01	2000010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0024	Серебряный движитель 02	2000010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0025	Серебряный движитель 03	2000010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0026	Серебряный движитель 04	2000010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0027	Движитель белой акулы 01	2000020004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0028	Движитель белой акулы 02	2000020005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0029	Реактивный движитель 01	2001000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0030	Реактивный движитель 02	2001000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0031	Реактивный движитель 03	2001000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0032	Движитель богини 01	2001010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0033	Движитель богини 02	2001010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0034	Движитель богини 03	2001010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0035	Движитель богини 04	2001010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0036	Движитель рыбы-меч 01	2002000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0037	Движитель рыбы-меч 02	2002000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0038	Движитель рыбы-меч 03	2002000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0039	Движитель рыбы-меч 04	2002000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
