id	name
0	0
1	Мамонт
2	Точность
3	Колосс
4	Буря
5	Мудрец
6	0
7	0
8	0
9	0
10	0
11	Черный дракон
12	Красный Дракон
13	Синий Дракон
14	Серебряный Дракон
15	Драконий
16	Изумрудный дракон
17	Янтарный Дракон
18	Золотой Дракон
19	Священный Дракон
20	Дьявольский Дракон
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	Кардик
51	Кардик
52	Кардик
53	Кардик
54	Кардик
55	Кардик
56	Кардик
57	Кардик
58	Кардик
59	Кардик
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	Виль
91	Виль
92	Виль
93	Виль
94	Виль
95	0
96	0
97	0
98	0
99	0
